
# ====================================
read_data       Output/data.2T-SiC_Modelled
Reading data file ...
  orthogonal box = (0 0 0) to (87.2 87.2 87.2)
  1 by 2 by 2 MPI processor grid
  reading atoms ...
  64000 atoms
  reading velocities ...
  64000 velocities
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.329 seconds
group           Center type 1 2
41089 atoms in group Center
group           Perim  type 3 4
22911 atoms in group Perim
# ====================================
pair_style      gw/zbl
pair_coeff      * *  potential/SiC.gw.zbl   C  Si   C   Si    C
Reading gw/zbl potential file potential/SiC.gw.zbl with DATE: 2016-05-06

# -- OR ---
# pair_style      tersoff/zbl
# pair_coeff      * *  potential/SiC.tersoff.zbl   C  Si   C   Si    C

# ====================================
velocity        all create 300 5287287
thermo_style    custom step temp epair press ke atoms time
thermo          50
thermo_modify   lost warn

######################################
# DUMP

dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-${trial}.lammpstrj id type xs ys zs x y z vx vy vz
dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-1.lammpstrj id type xs ys zs x y z vx vy vz
# dump            DUMP2 all yaml   50 Output/dump-2T-SiC-GW-${trial}.yaml id type x y z vx vy vz
# dump_modify     DUMP2 time yes units yes thermo yes

# -------------------------------------
fix             N1 all    npt temp 300 300 0.1 iso 0 0 0.1
run             4000
Neighbor list info ...
  update every 10 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 5
  ghost atom cutoff = 5
  binsize = 2.5, bins = 35 35 35
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair gw/zbl, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 19.12 | 19.12 | 19.12 Mbytes
   Step          Temp          E_pair         Press          KinEng        Atoms         Time     
         0   300           -410365.09      4031.5843      2481.756           64000   0            
        50   88.144453     -408570.35     -2590.953       729.17675          64000   0.05         
       100   134.61248     -408885.04     -21.001504      1113.5844          64000   0.1          
       150   200.75383     -409354.49      1957.831       1660.7401          64000   0.15         
       200   141.67869     -408776.28     -1752.2607      1172.0398          64000   0.2          
       250   152.03474     -408764.46     -154.39888      1257.7104          64000   0.25         
       300   209.80299     -409144.74      1408.0166      1735.5994          64000   0.3          
       350   171.42105     -408717.81     -1238.1176      1418.0841          64000   0.35         
       400   180.64347     -408680.82      17.175389      1494.3768          64000   0.4          
       450   222.9716      -408916.96      674.88161      1844.537           64000   0.45         
       500   189.49246     -408517.34     -854.86291      1567.5802          64000   0.5          
       550   221.05784     -408655.59      600.71661      1828.7054          64000   0.55         
       600   225.79223     -408569.65     -144.38884      1867.8708          64000   0.6          
       650   207.88095     -408291.79     -604.61413      1719.6993          64000   0.65         
       700   257.55832     -408575.48      1092.3082      2130.6564          64000   0.7          
       750   233.31524     -408246.11     -743.81389      1930.105           64000   0.75         
       800   238.92122     -408162.99     -295.3195       1976.4806          64000   0.8          
       850   280.58645     -408383.24      1014.2502      2321.1571          64000   0.85         
       900   251.8319      -408021.02     -804.00133      2083.2844          64000   0.9          
       950   270.43919     -408055.06      19.230655      2237.2136          64000   0.95         
      1000   291.34987     -408116.54      517.33922      2410.1976          64000   1            
      1050   277.73756     -407895.31     -506.3351       2297.5895          64000   1.05         
      1100   297.86364     -407966.15      241.65803      2464.083           64000   1.1          
      1150   296.54226     -407870.31     -103.797        2453.1518          64000   1.15         
      1200   295.08629     -407787.65     -11.214641      2441.1072          64000   1.2          
      1250   315.45099     -407902.6       312.8238       2609.5746          64000   1.25         
      1300   297.19078     -407718.9      -596.53989      2458.5167          64000   1.3          
      1350   309.69834     -407818.25      396.59165      2561.9857          64000   1.35         
      1400   313.03445     -407865.19      136.22087      2589.5838          64000   1.4          
      1450   289.3882      -407709.32     -563.63039      2393.9697          64000   1.45         
      1500   309.23724     -407922.17      514.39511      2558.1713          64000   1.5          
      1550   296.57448     -407859.41     -148.36896      2453.4183          64000   1.55         
      1600   291.05575     -407845.06     -189.86109      2407.7645          64000   1.6          
      1650   302.68595     -407953.29      353.98638      2503.9756          64000   1.65         
      1700   290.40619     -407842.02     -298.84996      2402.391           64000   1.7          
      1750   296.90056     -407869.79      123.95265      2456.1158          64000   1.75         
      1800   303.48975     -407888.11      123.23574      2510.6251          64000   1.8          
      1850   293.85596     -407773.05     -352.21258      2430.9293          64000   1.85         
      1900   309.22198     -407872.03      374.3263       2558.0451          64000   1.9          
      1950   300.62162     -407784.08     -193.75164      2486.8984          64000   1.95         
      2000   304.11112     -407814.7      -187.73473      2515.7653          64000   2            
      2050   311.05791     -407887.44      330.57354      2573.2328          64000   2.05         
      2100   291.83628     -407758.08     -260.72084      2414.2214          64000   2.1          
      2150   302.28839     -407874.72      23.48209       2500.6867          64000   2.15         
      2200   295.35986     -407847.42      199.06214      2443.3703          64000   2.2          
      2250   296.34507     -407871.77     -174.34856      2451.5205          64000   2.25         
      2300   297.26732     -407885.5       251.36399      2459.1498          64000   2.3          
      2350   297.54577     -407876.3      -171.5165       2461.4533          64000   2.35         
      2400   299.41029     -407869.19     -105.23034      2476.8776          64000   2.4          
      2450   302.53885     -407868.97      459.3459       2502.7587          64000   2.45         
      2500   296.18776     -407792.12     -635.07962      2450.2191          64000   2.5          
      2550   304.53084     -407841.72      174.69231      2519.2374          64000   2.55         
      2600   305.64714     -407841.91      677.97528      2528.4721          64000   2.6          
      2650   296.11478     -407766.32     -1163.2774      2449.6155          64000   2.65         
      2700   307.3079      -407873.68      655.78507      2542.2107          64000   2.7          
      2750   298.40932     -407821.07      46.887388      2468.5971          64000   2.75         
      2800   296.15235     -407828        -481.68422      2449.9262          64000   2.8          
      2850   302.61116     -407903.8       446.99982      2503.3569          64000   2.85         
      2900   293.09687     -407838.32     -224.85262      2424.6497          64000   2.9          
      2950   301.81268     -407910.06     -49.804323      2496.7514          64000   2.95         
      3000   294.77938     -407841.53      301.92226      2438.5683          64000   3            
      3050   298.85914     -407853.76     -248.93241      2472.3182          64000   3.05         
      3100   301.79741     -407856.33      18.989348      2496.6252          64000   3.1          
      3150   302.14965     -407837.42      220.22129      2499.539           64000   3.15         
      3200   300.22668     -407806.63     -300.501        2483.6312          64000   3.2          
      3250   305.45846     -407845.76      21.843829      2526.9112          64000   3.25         
      3300   298.49479     -407796.9       449.33562      2469.3041          64000   3.3          
      3350   305.86576     -407870.88     -528.17051      2530.2806          64000   3.35         
      3400   302.24295     -407864.52      7.8714175      2500.3108          64000   3.4          
      3450   295.54584     -407831.42      576.59952      2444.9089          64000   3.45         
      3500   299.92071     -407883.79     -500.12984      2481.1001          64000   3.5          
      3550   294.81024     -407848.2       82.828092      2438.8236          64000   3.55         
      3600   294.96156     -407847.53      218.79931      2440.0754          64000   3.6          
      3650   303.04475     -407897.96     -253.90728      2506.9438          64000   3.65         
      3700   296.03124     -407821.82      85.177488      2448.9244          64000   3.7          
      3750   305.81457     -407881.57      93.30978       2529.8572          64000   3.75         
      3800   301.90471     -407830.88     -216.29159      2497.5127          64000   3.8          
      3850   299.82223     -407805.04      220.06816      2480.2854          64000   3.85         
      3900   303.73142     -407836.71     -90.120388      2512.6243          64000   3.9          
      3950   301.777       -407831.83     -255.1893       2496.4563          64000   3.95         
      4000   296.49307     -407807.38      651.09155      2452.7449          64000   4            
Loop time of 423.59 on 4 procs for 4000 steps with 64000 atoms

Performance: 0.816 ns/day, 29.416 hours/ns, 9.443 timesteps/s
98.6% CPU use with 4 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 358.93     | 363.42     | 367.66     |  16.9 | 85.80
Bond    | 0.0016333  | 0.001753   | 0.0018491  |   0.2 |  0.00
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 26.912     | 31.156     | 35.735     |  58.9 |  7.36
Output  | 22.129     | 22.133     | 22.136     |   0.1 |  5.23
Modify  | 5.3505     | 5.4446     | 5.6322     |   4.8 |  1.29
Other   |            | 1.431      |            |       |  0.34

Nlocal:          16000 ave       16000 max       16000 min
Histogram: 4 0 0 0 0 0 0 0 0 0
Nghost:          10735 ave       10735 max       10735 min
Histogram: 4 0 0 0 0 0 0 0 0 0
Neighs:              0 ave           0 max           0 min
Histogram: 4 0 0 0 0 0 0 0 0 0
